{ Tootenimi = Chai, Hind = 22,0000 }
{ Tootenimi = Changg, Hind = 21,0000 }
{ Tootenimi = Aniseed Syrup, Hind = 6,0000 }
{ Tootenimi = Chef Anton's Cajun Seasoning, Hind = 22,0000 }
{ Tootenimi = Chef Anton's Gumbo Mix, Hind = 21,3500 }
{ Tootenimi = Grandma's Boysenberry Spread, Hind = 25,0000 }
{ Tootenimi = Uncle Bob's Organic Dried Pears, Hind = 30,0000 }
{ Tootenimi = Northwoods Cranberry Sauce, Hind = 0 }
{ Tootenimi = Mishi Kobe Niku, Hind = 97,0000 }
{ Tootenimi = Ikura, Hind = 31,0000 }
{ Tootenimi = Queso Cabrales, Hind = 21,0000 }
{ Tootenimi = Queso Manchego La Pastora, Hind = 38,0000 }
{ Tootenimi = Konbu, Hind = 6,0000 }
{ Tootenimi = Tofu, Hind = 23,2500 }
{ Tootenimi = Genen Shouyu, Hind = 15,5000 }
{ Tootenimi = Pavlova, Hind = 17,4500 }
{ Tootenimi = Alice Mutton, Hind = 41,0000 }
{ Tootenimi = Carnarvon Tigers, Hind = 62,5000 }
{ Tootenimi = Teatime Chocolate Biscuits, Hind = 9,2000 }
{ Tootenimi = Sir Rodney's Marmalade, Hind = 81,0000 }
{ Tootenimi = Sir Rodney's Scones, Hind = 10,0000 }
{ Tootenimi = Gustaf's Knäckebröd, Hind = 21,0000 }
{ Tootenimi = Tunnbröd, Hind = 9,0000 }
{ Tootenimi = Guaraná Fantástica, Hind = 4,5000 }
{ Tootenimi = NuNuCa Nuß-Nougat-Creme, Hind = 14,0000 }
{ Tootenimi = Gumbär Gummibärchen, Hind = 31,2300 }
{ Tootenimi = Schoggi Schokolade, Hind = 43,9000 }
{ Tootenimi = Rössle Sauerkraut, Hind = 45,6000 }
{ Tootenimi = Thüringer Rostbratwurst, Hind = 123,7900 }
{ Tootenimi = Nord-Ost Matjeshering, Hind = 25,8900 }
{ Tootenimi = Gorgonzola Telino, Hind = 12,5000 }
{ Tootenimi = Mascarpone Fabioli, Hind = 32,0000 }
{ Tootenimi = Geitost, Hind = 2,5000 }
{ Tootenimi = Sasquatch Ale, Hind = 14,0000 }
{ Tootenimi = Steeleye Stout, Hind = 18,0000 }
{ Tootenimi = Inlagd Sill, Hind = 19,0000 }
{ Tootenimi = Gravad lax, Hind = 26,0000 }
{ Tootenimi = Côte de Blaye, Hind = 263,5000 }
{ Tootenimi = Chartreuse verte, Hind = 18,0000 }
{ Tootenimi = Boston Crab Meat, Hind = 18,4000 }
{ Tootenimi = Jack's New England Clam Chowder, Hind = 9,6500 }
{ Tootenimi = Singaporean Hokkien Fried Mee, Hind = 15,0000 }
{ Tootenimi = Ipoh Coffee, Hind = 46,0000 }
{ Tootenimi = Gula Malacca, Hind = 19,4500 }
{ Tootenimi = Rogede sild, Hind = 9,5000 }
{ Tootenimi = Spegesild, Hind = 12,0000 }
{ Tootenimi = Zaanse koeken, Hind = 9,5000 }
{ Tootenimi = Chocolade, Hind = 12,7500 }
{ Tootenimi = Maxilaku, Hind = 20,0000 }
{ Tootenimi = Valkoinen suklaa, Hind = 16,2500 }
{ Tootenimi = Manjimup Dried Apples, Hind = 53,0000 }
{ Tootenimi = Filo Mix, Hind = 7,0000 }
{ Tootenimi = Perth Pasties, Hind = 32,8000 }
{ Tootenimi = Tourtière, Hind = 7,4500 }
{ Tootenimi = Pâté chinois, Hind = 24,0000 }
{ Tootenimi = Gnocchi di nonna Alice, Hind = 38,0000 }
{ Tootenimi = Ravioli Angelo, Hind = 19,0000 }
{ Tootenimi = Escargots de Bourgogne, Hind = 13,2500 }
{ Tootenimi = Raclette Courdavault, Hind = 55,0000 }
{ Tootenimi = Camembert Pierrot, Hind = 34,0000 }
{ Tootenimi = Sirop d'érable, Hind = 29,7000 }
{ Tootenimi = Tarte au sucre, Hind = 49,3000 }
{ Tootenimi = Vegie-spread, Hind = 43,9000 }
{ Tootenimi = Wimmers gute Semmelknödel, Hind = 33,2500 }
{ Tootenimi = Louisiana Fiery Hot Pepper Sauce, Hind = 21,0000 }
{ Tootenimi = Louisiana Hot Spiced Okra, Hind = 17,0000 }
{ Tootenimi = Laughing Lumberjack Lager, Hind = 14,0000 }
{ Tootenimi = Scottish Longbreads, Hind = 12,5000 }
{ Tootenimi = Gudbrandsdalsost, Hind = 36,0000 }
{ Tootenimi = Outback Lager, Hind = 15,0000 }
{ Tootenimi = Flotemysost, Hind = 21,5000 }
{ Tootenimi = Mozzarella di Giovanni, Hind = 34,8000 }
{ Tootenimi = Röd Kaviar, Hind = 15,0000 }
{ Tootenimi = Longlife Tofu, Hind = 10,0000 }
{ Tootenimi = Rhönbräu Klosterbier, Hind = 7,7500 }
{ Tootenimi = Lakkalikööri, Hind = 22,0000 }
{ Tootenimi = Original Frankfurter grüne Soße, Hind = 13,0000 }
